near -3 -1 0,ufar -2 0 -1,mid -1 -2 0,far -1 -3 1,ufar -2 3 3,near -3 -2 -2,far -3 1 1,near -3 -1 -2,mid -2 -1 -3,mid -2 3 3,far -2 -2 -2,mid -2 -2 1,mid -2 1 3,far -3 3 3,ufar -1 -3 -1,well,real,X,Y,depth,phi,rho,vp,vs
-1.9755576667604857,-1.7156073955538105,-2.4502649375531904,-2.890058650899925,-0.8254870606702589,-0.7874157836335939,-1.292666290011069,-0.8448848865987586,-0.4930815965676628,-0.151852530027195,-1.1316651978307122,-2.3798728124866027,-0.194861266548774,-0.5851845289219826,-1.3571947782750435,1,0,343,275,26,0.0,2.315297,3087.063477,1444.745605

-2.0525264768366247,-2.2861754887498815,-2.458031441675915,-2.5039737359061203,0.07648725576888162,-1.4803854736269486,-0.9943410749101252,-1.5541615121238506,-1.3179578306147945,0.8265362201565726,-1.9154778150617782,-2.048577440616509,0.6326932912719477,-0.008828421147770854,-2.0752255029535407,1,0,343,275,27,0.0,2.30856,3078.081055,1440.541992

-1.805302876892338,-2.4245517616051266,-2.1220991838918084,-1.7908991561398122,0.8467225480250681,-1.8987495083518937,-0.5172700617203951,-1.9755576667604857,-1.9277046024992892,1.585795739548278,-2.354648822009781,-1.507340813725548,1.268297378839779,0.4926779521817933,-2.4522473070793325,1,0,343,275,28,0.0,2.294767,3059.690186,1431.934814

-1.3506398701925226,-2.128371983984845,-1.5446356786547575,-0.8914648412571491,1.3482426355179755,-1.9875708615381538,0.008759544397863861,-2.0525264768366247,-2.211481757538114,1.9896610007144728,-2.381175887254281,-0.8824298634291374,1.6134662821267294,0.8252263424631746,-2.4483662820340655,1,0,343,275,29,0.0,2.307028,3076.037842,1439.585693

-0.8213470163541546,-1.4968680708460531,-0.8506396426838796,0.019224949161196436,1.5585576718918848,-1.772837409232517,0.4633574133191335,-1.805302876892338,-2.12665393471645,2.0251637126377684,-2.030198441215087,-0.30315549323517454,1.6731582628585713,0.9760518905368676,-2.0898172069610546,1,0,343,275,30,0.0,2.344846,3126.461426,1463.183838

-0.3462910361774468,-0.6609940537921215,-0.1806903462292463,0.8206465948860983,1.5397075456960132,-1.3657475494911802,0.7859522350333932,-1.3506398701925226,-1.7261793451547294,1.783978264245261,-1.4156433058989364,0.16315260171845075,1.5337651675096915,0.994014945108494,-1.435532721198011,1,0,343,275,31,0.0,2.327853,3103.804443,1452.580322

0.015462358338004738,0.2197320318448257,0.3817708863723863,1.4373677745060487,1.3852054395565685,-0.8910978269458689,0.9773714478466808,-0.8213470163541546,-1.1365447998125866,1.405945883578878,-0.6679763540743322,0.5191733717655576,1.3101373541511532,0.9553723266176966,-0.6054858108889968,1,0,343,275,32,0.0,2.376835,3169.114258,1483.145264

0.28332202610616974,1.0254113083852698,0.8156629603197489,1.8353341116452897,1.1639316141299585,-0.4703583846286098,1.0835553011115542,-0.3462910361774468,-0.4952774396306422,1.020709248246943,0.06513827331164562,0.8071433794489569,1.088705235006111,0.9011220951571088,0.29759666129714196,1,0,343,275,33,0.0,2.35334,3137.787842,1468.484619

0.5220196760800965,1.6884872797716555,1.1391867997102043,1.9940899243689154,0.9089981580556017,-0.1549282502902078,1.1533813929274859,0.015462358338004738,0.06165440630329333,0.7301953146785458,0.6943996312779565,1.0668592011780025,0.9309948719171652,0.8448134811988334,1.1709913691611549,1,0,343,275,34,0.0,2.37927,3172.360596,1484.664551

0.8025942082980048,2.1715616286429635,1.3721742198027422,1.8900335218981457,0.5561626752098786,0.07995759513687015,1.1865765078327348,0.28332202610616974,0.46581274455987387,0.5257928584382189,1.177184409064641,1.3043532971499863,0.79333442331311,0.7209450591788604,1.907629328208851,1,0,343,275,35,0.0,2.323562,3098.08252,1449.902588

1.1479148391385459,2.4398639766636396,1.5146242476747938,1.5443068996359426,-0.00616070490759818,0.3009386030307072,1.1638908673983592,0.5220196760800965,0.7269096287756741,0.31497566958433015,1.5082796604757165,1.517317442520493,0.5773090272603537,0.4086676464653825,2.391658515526962,1,0,343,275,36,0.0,2.332025,3109.366699,1455.183594

1.5648673606863843,2.435204325818294,1.573773359755868,0.9422645379163122,-0.8604061205956466,0.5784325393754727,0.9903351696150893,0.8025942082980048,0.9024130475727228,-0.007585816758557629,1.6847966095356361,1.6202539011532517,0.19819487450484713,-0.17479348375963177,2.4986636713902426,1,0,343,275,37,0.0,2.357575,3143.435059,1471.127441

1.9513411075932272,2.114319578705938,1.484420290816921,0.12251718313711507,-2.0169236006874818,0.9350428938307028,0.5570062045557851,1.1479148391385459,1.053080085018596,-0.5413507272736997,1.6781897299797408,1.5228396844777319,-0.4004847341228326,-1.0722218808386212,2.1776274356221066,1,0,343,275,38,0.0,2.375136,3166.848877,1482.085205

